Název potraviny;Energie (kJ);Bílkoviny (g);SAFA (g);Tuky (g);Cukry (g);Sacharidy (g);Vláknina (g);Sůl (g);Náhrada (optional)
Tvaroh odtučněný průměr;280;12.5;0.3;0.5;3.5;3.5;0.2;0.1;Nízkotučný tvaroh zařazujte do jídelníčku, můžete ho občas nahradit tvarohem polotučným, který má lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
Tvaroh polotučný průměr;400;11;2.4;3.5;4.5;4.5;0.2;0.1;Polotučný tvaroh můžete občas zařazovat do jídelníčku, při přísnější dietě ho můžete nahradit tvarohem nízkotučným.
Tvaroh tučný průměr;600;10;6.8;10;4;4;0.2;0.1;Vhodnější alternativou je tvaroh nízkotučný nebo polotučný, které obsahují výrazně méně tuku a energie.
Tvaroh tvrdý průměr;500;25;0.7;1;2;2;0.2;0.12;Strouhaný tvaroh je vhodný použít na posypání sladkých i slaných pokrmů, celý pokrm se tak obohatí o plnohodnotné bílkoviny a vápník.
Activia Tvarohová průměr;450;6;2;3;13;14;0.5;0.11;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Activia Tvarohová jahoda;434;5.1;1.9;2.9;13.2;13.9;0.5;0.13;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Activia Tvarohová kakao;460;5.6;2.1;3.3;13.3;13.9;0.7;0.13;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Activia Tvarohová Stracciatella;474;5.6;2.6;3.9;13;14;0.5;0.11;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Activia Tvarohová vanilka;435;5.1;1.9;2.9;13;14;0.4;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Bio ovocný tvaroh s jogurtem brusinka (Milko);387;7.5;1;1.5;12;12;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce.
Bio ovocný tvaroh s jogurtem jahoda (Milko);404;8.5;1;1.5;12;12;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce.
Boni tvaroh měkký;283;12;0.2;0.3;3.5;4;0.2;0;Nízkotučný tvaroh zařazujte do jídelníčku, můžete ho občas nahradit tvarohem polotučným, který má lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
Boni tvaroh polotučný;387;10;3;3.8;3.9;4.5;0.2;0.11;Polotučný tvaroh můžete občas zařazovat do jídelníčku, při přísnější dietě ho můžete nahradit tvarohem nízkotučným.
Cremaviva tvarohová (Ehrmann);550;4.3;3.6;5.4;16.3;16.3;0.5;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Danonino tvaroh jahoda, vanilka;454;6.4;1.9;2.9;12.8;13.3;1.2;0.09;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce.
Choceňský tvaroh jemný;424;16;1.4;2;4.3;4.3;0.2;0.01;Tento tvaroh můžete občas zařazovat do jídelníčku, při přísnější dietě ho můžete nahradit tvarohem nízkotučným.
Jihočeská tvarohová pomazánka pórková, česneková, budapešť (Madeta);540;8.5;5;7.5;7.3;7.3;0.5;1;Vhodnější alternativou je tvaroh nízkotučný nebo polotučný, který si můžete sami ochutit, například česnekem, křenem, bylinkami nebo dalšími přísadami.
Jihočeský tvaroh na pečení 1%;380;17.5;0.3;0.5;3.7;3.7;0.2;0.1;Nízkotučný tvaroh zařazujte do jídelníčku, můžete ho občas nahradit tvarohem polotučným, který má lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
Jihočeský tvaroh odtučněný;266;11;0.1;0.2;4.2;4.2;0.2;0.09;Nízkotučný tvaroh zařazujte do jídelníčku, můžete ho občas nahradit tvarohem polotučným, který má lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
Jihočeský tvaroh polotučný;397;10.2;2.9;4.4;3.6;3.6;0.2;0.09;Polotučný tvaroh můžete občas zařazovat do jídelníčku, při přísnější dietě ho můžete nahradit tvarohem nízkotučným.
Jihočeský tvaroh tučný;532;8.5;5.9;9;3.2;3.2;0.2;0.09;Vhodnější alternativou je tvaroh nízkotučný nebo polotučný, které obsahují výrazně méně tuku a energie.
Jihočeský tvaroh s jogurtem broskev;402;6.8;0.8;1.3;13;14;0.5;0.09;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce.
Jihočeský tvaroh s jogurtem brusinka;415;6.8;0.8;1.2;14.7;14.7;0.5;0.07;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce.
Jihočeský tvaroh s jogurtem čokoláda;380;7.5;0.9;1.3;11;12;0.5;0.09;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce.
Jihočeský tvaroh s jogurtem jahoda;414;7.1;1;1.5;13.6;14;0.5;0.09;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce.
Jihočeský tvaroh s jogurtem stracciatella;362;6.8;1.1;1.6;10;11;0.5;0.09;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce.
Jihočeský tvaroh s jogurtem tiramisu;418;7.3;1;1.5;13;14;0.5;0.09;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce.
Jihočeský tvaroh s jogurtem vanilka;415;6.8;0.8;1.2;14.7;14.7;0.2;0.07;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce.
Jihočeský tvaroh s jogurtem vanilka sušenka;418;7.3;1;1.5;12;14;0.2;0.09;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce.
Julian tvarohový dezert (Olma);577;5.3;4.1;6.9;13;13.6;0.2;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
K-Classic Tvaroh odtučněný;281;12;0.1;0.2;4.1;4.1;0.2;0.1;Nízkotučný tvaroh zařazujte do jídelníčku, můžete ho občas nahradit tvarohem polotučným, který má lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
K-Classic Tvaroh ochucený tzatziki, bylinkový, křenový, žampiony;565;7.8;6.6;10;3.5;3.9;0.5;0.59;Vhodnější alternativou je tvaroh nízkotučný nebo polotučný, který si můžete sami ochutit, například česnekem, křenem, bylinkami nebo dalšími přísadami.
K-Classic Tvaroh tučný;580;9.3;6.5;9.8;3.5;3.5;0.2;0.1;Vhodnější alternativou je tvaroh nízkotučný nebo polotučný, které obsahují výrazně méně tuku a energie.
K-Classic Tvarohový dezert ananas;552;6;3.5;5.2;15;15;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
K-Classic Tvarohový dezert broskev-meruňka;535;6;3.5;5.2;13;14;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
K-Classic Tvarohový dezert jahoda;533;6;3.5;5.2;13;14;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
K-Classic Tvarohový dezert Stracciatella;674;5.9;4.7;7.2;17;18;0.5;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
K-Classic Tvarohový dezert vanilková příchuť;565;6.4;3.8;5.8;14;14;0.2;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
K-Classic Tvarohový dezert višeň;537;6.2;3.6;5.5;13;13;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Karlova koruna tvaroh tučný;551;9;6;9;3.5;3.8;0.2;0;Vhodnější alternativou je tvaroh nízkotučný nebo polotučný, které obsahují výrazně méně tuku a energie.
Karlova koruna tvaroh tvrdý na strouhání;500;24;0;0;1.8;4.3;0.2;0.1;Strouhaný tvaroh je vhodný použít na posypání sladkých i slaných pokrmů, celý pokrm se tak obohatí o plnohodnotné bílkoviny a vápník.
Kunín Termix průměr;510;6.7;1.7;2;15.2;19;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Laktos Tvaroh měkký;289;12.2;0.1;0.1;3.9;3.9;0.2;0.1;Nízkotučný tvaroh zařazujte do jídelníčku, můžete ho občas nahradit tvarohem polotučným, který má lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
Matylda tvaroh s jogurtem banánová;487;7;2.3;3.5;11;14;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Matylda tvaroh s jogurtem čokoládová;504;7;2.3;3.5;13;15;1.3;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Matylda tvaroh s jogurtem vanilková;487;7;2.3;3.5;12;14;0.7;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Milko tvaroh lahodný;527;6;1.2;3;15;17.5;2;0.08;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou kakaa nebo čerstvého ovoce.
Milko tvaroh lahodný čokoládový;509;7;1.3;2.5;13.5;17.5;2;0.08;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou kakaa nebo čerstvého ovoce.
Milko tvaroh lahodný vanilkový;501;7;1.3;2.5;13.5;17;2;0.08;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou kakaa nebo čerstvého ovoce.
Milko tvaroh měkký;283;12;0.2;0.3;3.5;4;0.2;0.1;Nízkotučný tvaroh zařazujte do jídelníčku, můžete ho občas nahradit tvarohem polotučným, který má lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
Milko tvaroh ovocný;464;7.5;1.3;2;14;14.5;2;0.04;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce.
Milko tvaroh polotučný;393;11;2.4;3.5;4.5;4.5;0.2;0.1;Polotučný tvaroh můžete občas zařazovat do jídelníčku, při přísnější dietě ho můžete nahradit tvarohem nízkotučným.
Milko tvaroh tučný;551;9;6;9;3.5;3.8;0.2;0.1;Vhodnější alternativou je tvaroh nízkotučný nebo polotučný, které obsahují výrazně méně tuku a energie.
Olešnický tvaroh jemný;436;17;1.5;2.1;4.1;4.1;0.2;0.08;Tento tvaroh můžete občas zařazovat do jídelníčku, při přísnější dietě ho můžete nahradit tvarohem nízkotučným.
Olešnický tvaroh měkký;360;16;0.7;1;3;3;0.2;0.1;Nízkotučný tvaroh zařazujte do jídelníčku, můžete ho občas nahradit tvarohem polotučným, který má lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
Olešnický tvaroh premium;630;15;5.4;8;4;4;0.2;0.1;Vhodnější alternativou je tvaroh nízkotučný nebo polotučný, které obsahují výrazně méně tuku a energie.
Olešnický tvaroh tvrdý;500;25;0.7;1;2;2;0.2;0.2;Strouhaný tvaroh je vhodný použít na posypání sladkých i slaných pokrmů, celý pokrm se tak obohatí o plnohodnotné bílkoviny a vápník.
Olmáček tvarohový dezert;650;5.5;4.2;7;17;17.5;0.5;0.13;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Olmíci tvarohoví;660;6;4.7;7;15.5;15.5;0.5;0.13;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Ovofit tvarohový dezert (ananas, jahoda, višeň);285;8.5;1.3;1.5;3;5;0.8;0.08;Tento výrobek můžete zařadit do jídelníčku. Ještě vhodnější je však bílý jogurt či tvaroh, do kterého si můžete přidat čerstvé ovoce.
Paula + tvaroh + smetana;630;6.3;3.3;5.2;18;20;0.5;0.14;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Pilos tvaroh jemný tradiční;426;15.5;1.2;2.5;4.1;4.1;0.2;0.07;Polotučný tvaroh můžete občas zařazovat do jídelníčku, při přísnější dietě ho můžete nahradit tvarohem nízkotučným.
Pilos tvaroh odtučněný;281;12;0.1;0.2;4.1;4.1;0.2;0.1;Nízkotučný tvaroh zařazujte do jídelníčku, můžete ho občas nahradit tvarohem polotučným, který má lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
Pilos tvaroh polotučný;497;16.7;2.8;4.2;3;3.4;0.2;0.1;Polotučný tvaroh můžete občas zařazovat do jídelníčku, při přísnější dietě ho můžete nahradit tvarohem nízkotučným.
Pilos tvaroh se smetanou;522;11;4.5;7.5;3.4;3.4;0.2;0.1;Vhodnější alternativou je tvaroh nízkotučný nebo polotučný, které obsahují výrazně méně tuku a energie.
Pilos Tvarohový dezert s ananasem;644;8;4.2;5;14;19;0.5;0.05;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Pilos Tvarohový dezert s ořechy;641;11;4.2;5;13;16;0.5;0.07;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Pilos Tvarohový dezert s rozinkami a vanilkovou příchutí;644;8;4.2;5;14;19;0.5;0.07;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Pilos Tvarohový dezert vanilka;625;9;3.9;6.5;13.6;13.6;0.2;0.07;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Sedlčanský tvaroh tvrdý;500;24;0.3;0.5;4.3;4.3;0.2;0.07;Strouhaný tvaroh je vhodný použít na posypání sladkých i slaných pokrmů, celý pokrm se tak obohatí o plnohodnotné bílkoviny a vápník.
Tvarohová Svačinka zahradní směs (Milko);376;9;2.3;3.5;3.5;5.5;1;1.5;Místo tohoto výrobku si můžete připravit vlastní pomazánku z nízkotučného nebo polotučného tvarohu a čerstvé zeleniny.
Sweetello tvarohový dezert s jablky a rozinkami;988;5.4;10.9;17;16;16.3;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce, ořechů nebo kakaa.
Sweetello tvarohový dezert s ořechy;1006;5.6;10.9;17;15.6;16.6;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce, ořechů nebo kakaa.
Sweetello tvarohový dezert s vanilkovou příchutí;981;5.6;11.2;17;14.5;15.1;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce, ořechů nebo kakaa.
Termix Milko;530;6;2.6;4.2;14;15.5;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Termixík Milko;689;6;3.4;8.5;9.3;16;0.5;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Teddy creamy dessert;505;5.5;2.5;3.5;11.5;16.6;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Tesco Ochucený tvaroh broskvovo meruňkový;520;7;2.3;3.5;14.2;15.5;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Tesco Ochucený tvaroh Jahodový;513;7;2.3;3.5;13.8;15.1;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Tesco Ochucený tvaroh s příchutí vanilky;525;7;2.3;3.5;14.5;15.8;0.2;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Tesco Ochucený tvaroh Stracciatella;587;7.1;3;4.8;15.2;16.5;0.5;0.1;Vhodnější jsou mléčné výrobky bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Tesco Tvaroh jemný;436;17;1.5;2.1;4.1;4.1;0.2;0.1;Tento tvaroh můžete občas zařazovat do jídelníčku, při přísnější dietě ho můžete nahradit tvarohem nízkotučným.
Tesco Tvaroh premium hrudkovitý;627;16;5.4;8.3;2.8;2.8;0.2;0.1;Vhodnější alternativou je tvaroh nízkotučný nebo polotučný, které obsahují výrazně méně tuku a energie.
Tesco Value Tvaroh měkký odtučněný;275;11.5;0.2;0.3;3.5;4;0.2;0.1;Nízkotučný tvaroh zařazujte do jídelníčku, můžete ho občas nahradit tvarohem polotučným, který má lepší senzorické vlastnosti a obsah tuku není zas tak vysoký.
Tvaroháček jahodovo-banánový (Milko);710;6;6.6;10;14;14;0.5;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Tvaroháček kakaový (Milko);778;7;6.6;10;14;17;0.5;0.7;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Tvaroháček s vanilkovou příchutí (Milko);727;7;6.6;10;12;14;0.2;0.07;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Tvaroháček smetanový (Milko);727;7;6.6;10;10;14;0.2;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh s trochou čerstvého ovoce nebo kakaa.
Smetana do kávy 10%;490;2.9;6.8;10;4.3;4.3;0;0.1;Pokud smetanu používáte do kávy, jedná se pouze o malé množství, můžete ji proto výjimečně použít. Vhodnější alternativou je však mléko.
Smetana na vaření 10%;490;3;6.8;10;4;4;0;0.1;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Smetana na vaření 12%;580;2.8;8.1;12;4.2;4.2;0;0.1;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Smetana do omáček 19%;800;2;12.8;19;3;3;0;0.1;Na vaření používejte raději smetanu s nižším obsahem tuku (10% nebo 12%) nebo ji ideálně nahraďte mlékem.
Smetana ke šlehání 31%;1250;2.1;20.9;31;2.9;2.9;0;0.1;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Smetana ke šlehání 33%;1330;2;22.3;33;3;3;0;0.1;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, která je stále energeticky velmi vydatná, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Smetana zakysaná 12%;560;3;8.1;12;3.6;3.6;0;0.1;Místo zakysané smetany použijte raději bílý jogurt.
Smetana zakysaná 15%;670;3;10.1;15;4;4;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Smetana zakysaná 20%;850;2.7;13.5;20;3.2;3.2;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Smetana zakysaná 30%;1210;2.3;20.4;30.2;2.9;2.9;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Šlehačka ve spreji z rostlinného tuku;1070;2;19.4;22;12;12;0;0.1;Vhodnější složení mají šlehačky ze smetany, mají však vysoké množství tuku a energetickou hodnotu, při redukční dietě proto šlehačku raději úplně vynechte.
Šlehačka ve spreji ze smetany;1070;2.5;13.5;20;16;16;0;0.1;Při redukční dietě šlehačku z pokrmu raději úplně vynechte.
Šlehačka ve spreji ze smetany čokoládová;1170;2.8;16.2;24;13;13;0;0.1;Při redukční dietě šlehačku z pokrmu raději úplně vynechte.
Šlehačka pařížská 27%;1300;2.5;18.2;27;15.2;15.2;0;0.1;Při redukční dietě šlehačku z pokrmu raději úplně vynechte.
Basic smetana ke šlehání 33%;1336;2.1;21;33;2.7;2.7;0;0.1;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Basic smetana na šlehání 31%;1245;2.1;21.7;31;2.9;2.9;0;0.1;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Basic smetana na vaření 12%;580;2.8;7;12;4.2;4.2;0;0.1;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Basic smetana sladká 12%;545;2.8;7.5;12;4.1;4.1;0;0.1;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Basic Zakysaná smetana 12%;582;3.1;8;12;3.8;5;0;0.1;Místo zakysané smetany použijte raději bílý jogurt.
Basic Zakysaná smetana 15%;688;2.9;9.6;15;3.4;4.9;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Bezlaktózová smetana ke šlehání 30%;1222;2.7;17;30;3.9;3.9;0;0.13;Tento výrobek má význam pro lidi s laktosovou intolerancí. Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Bezlaktózová smetana na vaření 10%;498;3.2;5.9;10;4.3;4.3;0;0.1;Tento výrobek má význam pro lidi s laktosovou intolerancí. Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Boni Kysaná smetana 10%;491;2.9;6.7;10.2;3.8;3.8;0;0.1;Místo zakysané smetany použijte raději bílý jogurt.
Boni Kysaná smetana 16%;720;3.1;9.8;16.3;3.8;3.8;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Boni Smetana na vaření 10%;492;3;6;10;4.2;4.2;0;0.1;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Jesenka zahuštěná ochucená smetana;1695;4.9;14;21.5;48;48;0;0.25;Do kávy nebo čaje si raději přidejte mléko, pokud vyžadujete sladkou chuť, použijte nízkokalorické či nekalorické sladidlo. Popřípadě můžete v malém množství použít i kondenzované mléko Tatra light.
Jihočeská smetana do kávy 10%;504;3.2;6.8;10;4.7;4.7;0;0.1;Pokud smetanu používáte do kávy, jedná se pouze o malé množství, můžete ji proto výjimečně použít. Vhodnější alternativou je však mléko.
Jihočeská smetana ke šlehání 33%;1306;2.2;22.3;33;2.8;2.8;0;0.07;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, která je stále energeticky velmi vydatná, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Jihočeská smetana trvanlivá ke šlehání 31%;1237;2.3;20.9;31;3;3;0;0.07;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, která je stále energeticky velmi vydatná, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Jihočeská smetana zakysaná 11%;534;3.1;7.3;11;4.4;4.4;0;0.1;Místo zakysané smetany použijte raději bílý jogurt.
Jihočeská smetana zakysaná 15%;709;3.1;11;16;3.8;3.8;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
